1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
1096,IL,Illinois,14,n/a,,Joseph,Monack,"Monack, Joseph",,W,,,,,8,0.00199475379751254%,,,,,,,
1097,IL,Illinois,14,n/a,,,,,District Votes:,,129800,,,,401052,,,,,,,,
1098,IL,Illinois,15,H0IL15129,,Mary ,Miller,"Miller, Mary ",,R,48129,57.4016649571834%,,,244947,73.4460549435393%,,,,,W,W,
1099,IL,Illinois,15,H0IL15186,,Darren E.,Duncan,"Duncan, Darren E.",,R,18309,21.8364620852515%,,,,,,,,,,,
1100,IL,Illinois,15,H0IL15145,,Kerry A.,Wolff,"Wolff, Kerry A.",,R,11208,13.3673639768146%,,,,,,,,,,,
1101,IL,Illinois,15,H0IL15202,,Chuck,Ellington,"Ellington, Chuck",,R,6200,7.39450898075042%,,,,,,,,,,,
1102,IL,Illinois,15,n/a,,,,,Party Votes:,R,83846,,,,,,,,,,,,
1103,IL,Illinois,15,H0IL15194,,Erika C.,Weaver,"Weaver, Erika C.",,D,17778,51.9050538670404%,,,88559,26.5539450564608%,,,,,W,,
1104,IL,Illinois,15,H8IL15072,,Kevin,Gaither,"Gaither, Kevin",,D,7653,22.3438731715862%,,,,,,,,,,,
1105,IL,Illinois,15,H0IL15210,,Craig,Morton,"Morton, Craig",,D,6576,19.1994394324253%,,,,,,,,,,,
1106,IL,Illinois,15,H0IL15095,,"John W., Jr.",Hursey,"Hursey, John W., Jr.",,D,2244,6.55163352894806%,,,,,,,,,,,
1107,IL,Illinois,15,n/a,,,,,Party Votes:,D,34251,,,,,,,,,,,,
1108,IL,Illinois,15,n/a,,,,,District Votes:,,118097,,,,333506,,,,,,,,
1109,IL,Illinois,16,H0IL11052,(I),Adam,Kinzinger,"Kinzinger, Adam",,R,45296,100%,,,218839,64.7148235001878%,,,,,W,W,
1110,IL,Illinois,16,n/a,,,,,Party Votes:,R,45296,,,,,,,,,,,,
