1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
152,Arizona,AZ,02,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LIB,318,100%,,,10820,4.05404392755176%,,,,
153,Arizona,AZ,02,n/a,,,,,Party Votes:,LIB,318,,,,,,,,,
154,Arizona,AZ,02,H6AZ00027,,Crum ,William,"William, Crum ",,W,,,,,8,0.00299744467841165%,,,,
155,Arizona,AZ,02,n/a,,Mark,Rankin,"Rankin, Mark",,W,,,,,2,0.000749361169602914%,,,,
156,Arizona,AZ,02,n/a,,,,,District Votes:,,133293,,,,266894,,,,,
157,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
158,Arizona,AZ,03,H0AZ03362,,Ben,Quayle,"Quayle, Ben",,REP,17400,22.0512755522324%,,,108689,52.23649619601%,,,,
159,Arizona,AZ,03,H0AZ03396,,Steve,Moak,"Moak, Steve",,REP,14211,18.0098090156767%,,,,,,,,
160,Arizona,AZ,03,H0AZ03313,,Jim,Waring,"Waring, Jim",,REP,13850,17.5523084137022%,,,,,,,,
161,Arizona,AZ,03,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,REP,13411,16.9959572661488%,,,,,,,,
162,Arizona,AZ,03,H0AZ03339,,Pamela,Gorman,"Gorman, Pamela",,REP,6473,8.20332796836783%,,,,,,,,
163,Arizona,AZ,03,H0AZ03354,,Paulina,Morris,"Morris, Paulina",,REP,6138,7.77877754825301%,,,,,,,,
164,Arizona,AZ,03,H0AZ03347,,Sam,Crump,"Crump, Sam",,REP,3886,4.9247848733319%,,,,,,,,
165,Arizona,AZ,03,H8AZ03126,,Ed,Winkler,"Winkler, Ed",,REP,1353,1.7146767713891%,,,,,,,,
166,Arizona,AZ,03,H0AZ03388,,Bob,Branch,"Branch, Bob",,REP,1141,1.4460060577642%,,,,,,,,
167,Arizona,AZ,03,H0AZ03370,,Leann,Hull,"Hull, Leann",,REP,1044,1.32307653313394%,,,,,,,,
168,Arizona,AZ,03,n/a,,,,,Party Votes:,REP,78907,,,,,,,,,
169,Arizona,AZ,03,H0AZ03305,,Jon,Hulburd,"Hulburd, Jon",,DEM,27388,100%,,,85610,41.1446092920205%,,,,
170,Arizona,AZ,03,n/a,,,,,Party Votes:,DEM,27388,,,,,,,,,
171,Arizona,AZ,03,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,LIB,392,99.7455470737914%,,,10478,5.03578105550509%,,,,
172,Arizona,AZ,03,H0AZ03446 ,,Clay,Adair,"Adair, Clay",,W(LIB),1,0.254452926208651%,,,,,,,,
173,Arizona,AZ,03,n/a,,,,,Party Votes:,LIB,393,,,,,,,,,
174,Arizona,AZ,03,H0AZ03438,,Leonard ,Clark,"Clark, Leonard ",,W(GRE)/GRE,5,100%,,,3294,1.58311345646438%,,,,
175,Arizona,AZ,03,n/a,,,,,Party Votes:,GRE,5,,,,,,,,,
176,Arizona,AZ,03,n/a,,,,,District Votes:,,106693,,,,208071,,,,,
177,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
178,Arizona,AZ,04,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,DEM,24613,100%,,,61524,66.9415822516239%,,,,
179,Arizona,AZ,04,n/a,,,,,Party Votes:,DEM,24613,,,,,,,,,
180,Arizona,AZ,04,H0AZ04493,,Janet,Contreras,"Contreras, Janet",,REP,8085,60.0981193785773%,,,25300,27.5278270425539%,,,,
181,Arizona,AZ,04,H0AZ04501,,Joe,Penalosa,"Penalosa, Joe",,REP,5368,39.9018806214227%,,,,,,,,
182,Arizona,AZ,04,n/a,,,,,Party Votes:,REP,13453,,,,,,,,,
183,Arizona,AZ,04,H8AZ04124,,Joe,Cobb,"Cobb, Joe",,LIB,219,100%,,,2718,2.95733730836607%,,,,
184,Arizona,AZ,04,n/a,,,,,Party Votes:,LIB,219,,,,,,,,,
185,Arizona,AZ,04,H8AZ04116,,Rebecca,Dewitt,"Dewitt, Rebecca",,GRE,148,100%,,,2365,2.57325339745612%,,,,
186,Arizona,AZ,04,n/a,,,,,Party Votes:,GRE,148,,,,,,,,,
187,Arizona,AZ,04,n/a,,,,,District Votes:,,38433,,,,91907,,,,,
188,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
189,Arizona,AZ,05,H4AZ06045,,David,Schweikert,"Schweikert, David",,REP,26678,37.2327360017864%,,,110374,52.0018845700824%,,,,
190,Arizona,AZ,05,H0AZ05078,,Jim,Ward,"Ward, Jim",,REP,18480,25.7913247362251%,,,,,,,,
191,Arizona,AZ,05,H4AZ01061,,Susan,Bitter Smith,"Bitter Smith, Susan",,REP,17297,24.1402891754592%,,,,,,,,
192,Arizona,AZ,05,H0AZ05102,,Chris,Salvino,"Salvino, Chris",,REP,7156,9.9871601630101%,,,,,,,,
193,Arizona,AZ,05,H8AZ05121,,Lee,Gentry,"Gentry, Lee",,REP,1157,1.61474906492491%,,,,,,,,
194,Arizona,AZ,05,H0AZ05110,,Mark,Spinks,"Spinks, Mark",,REP,884,1.23374085859432%,,,,,,,,
195,Arizona,AZ,05,n/a,,,,,Party Votes:,REP,71652,,,,,,,,,
196,Arizona,AZ,05,H6AZ05067,(I),Harry,Mitchell,"Mitchell, Harry",,DEM,29716,100%,,,91749,43.2268551236749%,,,,
197,Arizona,AZ,05,n/a,,,,,Party Votes:,DEM,29716,,,,,,,,,
198,Arizona,AZ,05,H0AZ05136,,Nick,Coons,"Coons, Nick",,LIB,306,100%,,,10127,4.77126030624264%,,,,
199,Arizona,AZ,05,n/a,,,,,Party Votes:,LIB,306,,,,,,,,,
200,Arizona,AZ,05,H0AZ05144 ,,Ryan ,Blackman,"Blackman, Ryan ",,W(GRE),4,100%,,,,,,,,
201,Arizona,AZ,05,n/a,,,,,Party Votes:,GRE,4,,,,,,,,,
202,Arizona,AZ,05,n/a,,,,,District Votes:,,101678,,,,212250,,,,,
203,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
204,Arizona,AZ,06,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,REP,62285,64.596253966937%,,,165649,66.4235332801354%,,,,
205,Arizona,AZ,06,H0AZ05094,,Jeff,Smith,"Smith, Jeff",,REP,34137,35.403746033063%,,,,,,,,
206,Arizona,AZ,06,n/a,,,,,Party Votes:,REP,96422,,,,,,,,,
207,Arizona,AZ,06,H8AZ06053,,Rebecca,Schneider,"Schneider, Rebecca",,DEM,26220,100%,,,72615,29.1178628856017%,,,,
208,Arizona,AZ,06,n/a,,,,,Party Votes:,DEM,26220,,,,,,,,,
209,Arizona,AZ,06,H0AZ06050,,Darell,Tapp,"Tapp, Darell",,W(LIB)/LIB,28,100%,,,7712,3.09243212247828%,,,,
210,Arizona,AZ,06,n/a,,,,,Party Votes:,LIB,28,,,,,,,,,
211,Arizona,AZ,06,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(GRE)/GRE,6,100%,,,3407,1.36617171178468%,,,,
212,Arizona,AZ,06,n/a,,,,,Party Votes:,GRE,6,,,,,,,,,
213,Arizona,AZ,06,n/a,,,,,District Votes:,,122676,,,,249383,,,,,
214,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
215,Arizona,AZ,07,H2AZ07070,(I),Ra£l M.,Grijalva,"Grijalva, Ra£l M.",,DEM,33931,100%,,,79935,50.228095309908%,,,,
216,Arizona,AZ,07,n/a,,,,,Party Votes:,DEM,33931,,,,,,,,,
217,Arizona,AZ,07,H0AZ07017,,Ruth,McClung,"McClung, Ruth",,REP,15455,50.9527891335883%,,,70385,44.227240737948%,,,,
218,Arizona,AZ,07,H0AZ07025,,Terry,Myers,"Myers, Terry",,REP,7044,23.2229988131346%,,,,,,,,
219,Arizona,AZ,07,H0AZ07041,,Joseph,Sweeney,"Sweeney, Joseph",,REP,3702,12.2049320849268%,,,,,,,,
220,Arizona,AZ,07,H0AZ07058,,Robert,Wilson,"Wilson, Robert",,REP,2737,9.02347355927733%,,,,,,,,
221,Arizona,AZ,07,H0AZ07033,,Christopher J.,Flowers,"Flowers, Christopher J.",,REP,1394,4.59580640907293%,,,,,,,,
222,Arizona,AZ,07,n/a,,,,,Party Votes:,REP,30332,,,,,,,,,
223,Arizona,AZ,07,H0AZ07025,,Harley,Myer,"Myer, Harley",,IND,,,,,4506,2.83139797918866%,,,,
224,Arizona,AZ,07,H0AZ07074,,George,Keane,"Keane, George",,LIB,159,56.7857142857143%,,,4318,2.71326597295531%,,,,
225,Arizona,AZ,07,H0AZ07066,,Andrew,Ibarra,"Ibarra, Andrew",,LIB,121,43.2142857142857%,,,,,,,,
226,Arizona,AZ,07,n/a,,,,,Party Votes:,LIB,280,,,,,,,,,
227,Arizona,AZ,07,n/a,,,,,District Votes:,,64543,,,,159144,,,,,
228,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
